actual,61.0
mae,1.2907028198242188
mape,2.115906262006916
predicted,62.29070281982422
actual,52.0
mae,10.912094116210938
mape,20.984796377328728
predicted,62.91209411621094
actual,50.0
mae,14.950302124023438
mape,29.900604248046875
predicted,64.95030212402344
actual,62.0
mae,4.458106994628906
mape,7.1904951526272685
predicted,66.4581069946289
actual,65.0
mae,1.56951904296875
mape,2.4146446814903846
predicted,66.56951904296875
actual,67.0
mae,1.1890640258789062
mape,1.7747224266849346
predicted,68.1890640258789
actual,68.0
mae,2.8974456787109375
mape,4.260949527516084
predicted,65.10255432128906
actual,65.0
mae,2.4235916137695312
mape,3.7286024827223554
predicted,67.42359161376953
actual,66.0
mae,1.0907058715820312
mape,1.6525846539121685
predicted,67.09070587158203
actual,66.0
mae,3.379486083984375
mape,5.120433460582386
predicted,69.37948608398438
actual,70.0
mae,2.057525634765625
mape,2.9393223353794644
predicted,67.94247436523438
actual,74.0
mae,6.9766387939453125
mape,9.42789026208826
predicted,67.02336120605469
actual,71.0
mae,3.60675048828125
mape,5.079930265184859
predicted,67.39324951171875
actual,76.0
mae,8.345710754394531
mape,10.981198361045436
predicted,67.65428924560547
actual,75.0
mae,8.002334594726562
mape,10.669779459635418
predicted,66.99766540527344
actual,79.0
mae,11.445869445800781
mape,14.488442336456686
predicted,67.55413055419922
actual,78.0
mae,9.879074096679688
mape,12.665479611127806
predicted,68.12092590332031
actual,75.0
mae,7.7929534912109375
mape,10.390604654947918
predicted,67.20704650878906
actual,75.0
mae,8.74261474609375
mape,11.656819661458332
predicted,66.25738525390625
actual,72.0
mae,6.064002990722656
mape,8.422226376003689
predicted,65.93599700927734
actual,70.0
mae,4.160041809082031
mape,5.9429168701171875
predicted,65.83995819091797
actual,70.0
mae,0.274078369140625
mape,0.39154052734375006
predicted,69.72592163085938
actual,77.0
mae,7.603584289550781
mape,9.874784791624391
predicted,69.39641571044922
actual,76.0
mae,8.758071899414062
mape,11.523778815018504
predicted,67.24192810058594
actual,81.0
mae,11.457298278808594
mape,14.144812689887154
predicted,69.5427017211914
actual,86.0
mae,18.119522094726562
mape,21.069211738054143
predicted,67.88047790527344
actual,84.0
mae,15.921546936035156
mape,18.954222542898997
predicted,68.07845306396484
actual,81.0
mae,12.608146667480469
mape,15.565613169728973
predicted,68.39185333251953
actual,84.0
mae,18.345626831054688
mape,21.840031941731773
predicted,65.65437316894531
actual,86.0
mae,16.665664672851562
mape,19.37867985215298
predicted,69.33433532714844
actual,82.0
mae,14.534561157226562
mape,17.725074581983613
predicted,67.46543884277344
actual,84.0
mae,18.64239501953125
mape,22.19332740420387
predicted,65.35760498046875
actual,83.0
mae,19.513874053955078
mape,23.51069163127118
predicted,63.48612594604492
actual,86.0
mae,18.032188415527344
mape,20.96766094828761
predicted,67.96781158447266
actual,78.0
mae,11.982109069824219
mape,15.361678294646433
predicted,66.01789093017578
actual,72.0
mae,4.339439392089844
mape,6.026999155680338
predicted,67.66056060791016
actual,74.0
mae,8.296867370605469
mape,11.211982933250633
predicted,65.70313262939453
actual,65.0
mae,2.2466583251953125
mape,3.4563974233774037
predicted,62.75334167480469
actual,66.0
mae,0.11223602294921875
mape,0.17005458022608902
predicted,65.88776397705078
actual,66.0
mae,2.7393951416015625
mape,4.150598699396307
predicted,68.73939514160156
actual,68.0
mae,3.8215408325195312
mape,5.619912988999311
predicted,64.17845916748047
actual,68.0
mae,0.46623992919921875
mape,0.6856469547047335
predicted,67.53376007080078
actual,67.0
mae,0.02463531494140625
mape,0.03676912677821828
predicted,67.0246353149414
actual,69.0
mae,1.6336212158203125
mape,2.3675669794497285
predicted,67.36637878417969
actual,67.0
mae,2.810455322265625
mape,4.194709436217351
predicted,64.18954467773438
actual,67.0
mae,1.376983642578125
mape,2.0551994665345146
predicted,65.62301635742188
actual,59.999996185302734
mae,4.359752655029297
mape,7.266254887024873
predicted,64.35974884033203
actual,62.0
mae,0.20584869384765625
mape,0.33201402233492944
predicted,61.794151306152344
actual,59.999996185302734
mae,2.538829803466797
mape,4.2313832748020985
predicted,62.53882598876953
actual,59.0
mae,4.327640533447266
mape,7.334983954995365
predicted,63.327640533447266
actual,59.999996185302734
mae,4.256076812744141
mape,7.093461805563724
predicted,64.25607299804688
actual,54.0
mae,12.638832092285156
mape,23.405244615342884
predicted,66.63883209228516
actual,51.0
mae,15.116851806640625
mape,29.640885895373774
predicted,66.11685180664062
actual,47.0
mae,21.390037536621094
mape,45.510718163023604
predicted,68.3900375366211
actual,46.0
mae,19.935989379882812
mape,43.33910734757133
predicted,65.93598937988281
actual,39.0
mae,27.05401611328125
mape,69.36927208533655
predicted,66.05401611328125
actual,41.0
mae,24.8004150390625
mape,60.48881716844512
predicted,65.8004150390625
actual,49.0
mae,16.661170959472656
mape,34.0023897132095
predicted,65.66117095947266
actual,57.0
mae,7.8337554931640625
mape,13.743430689761512
predicted,64.83375549316406
actual,66.0
mae,4.2847747802734375
mape,6.492083000414299
predicted,61.71522521972656
actual,66.0
mae,4.781883239746094
mape,7.245277635978931
predicted,61.218116760253906
actual,62.0
mae,1.3284645080566406
mape,2.1426846904139363
predicted,60.67153549194336
actual,65.0
mae,2.8437843322753906
mape,4.375052818885217
predicted,62.15621566772461
actual,56.0
mae,6.966743469238281
mape,12.440613337925502
predicted,62.96674346923828
actual,53.0
mae,9.35970687866211
mape,17.65982429936247
predicted,62.35970687866211
actual,54.999996185302734
mae,8.009628295898438
mape,14.562961548056972
predicted,63.00962448120117
actual,50.0
mae,11.611686706542969
mape,23.223373413085938
predicted,61.61168670654297
actual,50.0
mae,11.516616821289062
mape,23.033233642578125
predicted,61.51661682128906
actual,45.0
mae,18.438880920410156
mape,40.97529093424479
predicted,63.438880920410156
actual,44.0
mae,19.389862060546875
mape,44.06786831942471
predicted,63.389862060546875
actual,39.0
mae,23.578937530517578
mape,60.4588141808143
predicted,62.57893753051758
actual,34.0
mae,31.37134552001953
mape,92.26866329417508
predicted,65.37134552001953
actual,34.0
mae,32.01850128173828
mape,94.17206259334789
predicted,66.01850128173828
actual,45.0
mae,20.043670654296875
mape,44.54149034288194
predicted,65.04367065429688
actual,50.0
mae,13.19931411743164
mape,26.39862823486328
predicted,63.19931411743164
actual,49.0
mae,13.761943817138672
mape,28.085599626813618
predicted,62.76194381713867
actual,46.0
mae,17.218219757080078
mape,37.430912515391476
predicted,63.21821975708008
actual,47.0
mae,14.940147399902344
mape,31.787547659366687
predicted,61.940147399902344
actual,51.0
mae,12.92000961303711
mape,25.333352182425706
predicted,63.92000961303711
actual,52.0
mae,8.26004409790039
mape,15.884700188269981
predicted,60.26004409790039
actual,54.999996185302734
mae,4.111347198486328
mape,7.475177242984928
predicted,59.11134338378906
actual,58.000003814697266
mae,0.9154586791992188
mape,1.5783769292912364
predicted,58.915462493896484
actual,56.0
mae,2.7512588500976562
mape,4.912962232317243
predicted,58.751258850097656
actual,51.0
mae,10.147865295410156
mape,19.89777508903952
predicted,61.147865295410156
actual,54.0
mae,8.866207122802734
mape,16.41890207926432
predicted,62.866207122802734
actual,54.999996185302734
mae,9.057758331298828
mape,16.468652653687403
predicted,64.05775451660156
actual,54.0
mae,4.8658599853515625
mape,9.010851824725115
predicted,58.86585998535156
actual,59.999996185302734
mae,2.0975418090820312
mape,3.4959032374002605
predicted,62.097537994384766
actual,61.0
mae,1.8058815002441406
mape,2.9604614758100665
predicted,62.80588150024414
actual,51.0
mae,9.965003967285156
mape,19.539223465265014
predicted,60.965003967285156
actual,50.0
mae,12.423759460449219
mape,24.847518920898438
predicted,62.42375946044922
actual,50.0
mae,9.822467803955078
mape,19.644935607910156
predicted,59.82246780395508
actual,53.0
mae,7.334953308105469
mape,13.839534543595224
predicted,60.33495330810547
